day_of_week,member_casual,avg_duration
Sunday,casual,25.788769445363965
Sunday,member,13.7769164118204
Monday,casual,21.926994248766434
Monday,member,11.872281210022342
Tuesday,casual,19.80457253304862
Tuesday,member,12.015035164475083
Wednesday,casual,18.23881262121572
Wednesday,member,11.754909926901687
Thursday,casual,19.672062732621455
Thursday,member,11.83808344339105
Friday,casual,21.99417762285393
Friday,member,12.311571842785602
Saturday,casual,25.093819708518467
Saturday,member,13.605966354422783
